timestamp,user_name,viewer_count,title,started_at,rank
"2025-08-06 17:56:58",Erica_Jacks,13,"*** On discute, on teste une démo et ensuite on part sur Zelda! *** !commandes !keskece !svp !café1",2025-08-06T11:58:11Z,1
"2025-08-06 17:56:58",TheLudz1,1,"👑 VERS LE CIEL, UN APPEL URGENT DANS LE VILLAGE PIAF🔥 03 🔥 Zelda: Tears of the Kingdom [Edition Switch 2] | !Réseaux",2025-08-06T12:13:16Z,2
"2025-08-08 13:01:06",litium16,2,"#? Bienvenue chill stream ! NS2",2025-08-08T08:52:29Z,1
"2025-08-08 13:01:06",KUAHEOU,1,"The Legend of Zelda: Tears of the Kingdom",2025-08-08T10:41:44Z,2
"2025-08-21 12:41:21",Nanaamy_,9,"La NanaTry'Hard - [FR] Zelda 100%|| Live Chill & Exploration || !discord !lurk",2025-08-21T07:55:15Z,1
"2025-08-21 12:41:21",Farjoloss,5,"Nouvelle aventure Zelda tears of the kingdom #4",2025-08-21T08:16:18Z,2
"2025-08-21 12:41:21",ladiffffffff,2,"Zelda TOTK",2025-08-21T08:58:59Z,3
"2025-08-21 12:41:21",litium16,2,"#? Bienvenue chill stream ! NS2",2025-08-21T08:09:31Z,4
"2025-08-21 12:41:21",KUAHEOU,1,"The Legend of Zelda: Tears of the Kingdom",2025-08-21T10:16:59Z,5
"2025-08-21 13:02:06",Nanaamy_,9,"La NanaTry'Hard - [FR] Zelda 100%|| Live Chill & Exploration || !discord !lurk",2025-08-21T07:55:15Z,1
"2025-08-21 13:02:06",Farjoloss,6,"Nouvelle aventure Zelda tears of the kingdom #4",2025-08-21T08:16:18Z,2
"2025-08-21 13:02:06",litium16,4,"#? Bienvenue chill stream ! NS2",2025-08-21T08:09:31Z,3
"2025-08-21 13:02:06",Amanomoon,2,"• 🌻 Retour en Hyrule ! et je rallume ma Switch OMG ? The Legend of Zelda   Tears of the Kingdom  !discord !wishlist !me !rs",2025-08-21T10:52:11Z,4
"2025-08-21 13:02:06",KUAHEOU,1,"The Legend of Zelda: Tears of the Kingdom",2025-08-21T10:16:59Z,5
"2025-08-21 13:02:06",ladiffffffff,1,"Zelda TOTK",2025-08-21T08:58:59Z,6
"2025-08-21 13:03:46",Nanaamy_,9,"La NanaTry'Hard - [FR] Zelda 100%|| Live Chill & Exploration || !discord !lurk",2025-08-21T07:55:15Z,1
